date,rank,rank_change,previous_rank_date,stock_code,company,transaction_value,value_source,volume,avg_value_20d,ohlcv_date,close,return_1d,return_3d,return_5d,ma20,ma50,rsi14,atr14,atr_pct,volume_vs_20d,support_prior_20d,resistance_prior_20d,trend,setup,entry,stop,target,distance_to_entry,risk_per_share,risk_pct_of_entry,reward_to_risk,foreign_buy_1d_shares,foreign_sell_1d_shares,foreign_net_1d_shares,foreign_net_1d_idr,foreign_net_3d_idr,foreign_net_5d_idr,foreign_sessions_5d,foreign_unit_1d,value_vs_20d_avg,foreign_net_pct_turnover,activity_signal,flow_check
2026-09-22,1,5,2026-09-21,BBRI,Bank Rakyat Indonesia,875447057000,IDX Stock Summary (official),272879800,658268655400.0,2026-09-22,3180.0,-0.036363636363636376,-0.04504504504504503,-0.04216867469879515,3312.5,3146.0,43.52932291491273,76.87598439179072,0.024174837859053687,1.3739149063809577,3100.0,3440.0,Mixed,Pullback long (reclaim MA20),3320.0,3190.0,3580.0,0.04402515723270439,130.0,0.0391566265060241,2.0,78768600,184464900,-105696300,-339092577650,-355298841223,-362313018807,5,shares,1.3299236562737908,-0.3873364756196787,Foreign distribution,Flow diverges
2026-09-22,2,2,2026-09-21,BUMI,Bumi Resources,714088087500,IDX Stock Summary (official),3843560500,699738774760.0,2026-09-22,184.0,-0.04166666666666663,-0.08910891089108908,-0.11538461538461542,203.45,185.3,39.34473459885011,9.961314719751345,0.05413757999864861,1.1264866803656155,181.0,232.0,Mixed,Pullback long (at support),184.0,176.0,200.0,0.0,8.0,0.043478260869565216,2.0,529542800,455933700,73609100,13675700289,-33802533175,-148074655612,5,shares,1.0205066708571662,0.019151279132632218,Normal activity,Mixed flow
2026-09-22,3,-1,2026-09-21,BBCA,Bank Central Asia,579943142500,IDX Stock Summary (official),93211200,807889826875.0,2026-09-22,6200.0,-0.004016064257028162,-0.023622047244094446,-0.03125,6466.25,6394.0,39.74528949004536,139.74143471293962,0.022538941082732196,0.7462833729028164,6225.0,6850.0,Mixed,No setup (below 20-session support),,,,,,,,48952000,65294900,-16342900,-101682552993,-589504965226,-681007855289,5,shares,0.7178492948020884,-0.17533193435941008,Normal activity,No trigger
2026-09-22,4,3,2026-09-21,BMRI,Bank Mandiri,514998693000,IDX Stock Summary (official),123121600,602334980500.0,2026-09-22,4160.0,-0.00952380952380949,-0.04367816091954024,-0.026672905942910607,4318.0,4259.0,41.43619356821565,84.31143450603325,0.020267171756257994,0.8837201724093257,4130.0,4480.0,Mixed,Pullback long (reclaim MA20),4320.0,4190.0,4580.0,0.03846153846153855,130.0,0.03009259259259259,2.0,58634300,79002800,-20368500,-85198298904,-443345378178,-473191327589,5,shares,0.8550037930264287,-0.16543400995388546,Normal activity,Flow diverges
2026-09-22,5,New,2026-09-21,DSSA,Dian Swastatika Sentosa Tbk,490710485000,IDX Stock Summary (official),494919200,494857661325.0,2026-09-22,980.0,-0.04390243902439028,-0.125,-0.09677419354838712,1112.5,988.9,38.898141841719806,65.73921798634227,0.0670808346799411,1.114233324869781,1010.0,1290.0,Mixed,No setup (below 20-session support),,,,,,,,89598600,67106600,22492000,22300731571,-36848719840,-433327933,5,shares,0.9916194561605942,0.045445802061881764,Normal activity,No trigger
2026-09-22,6,-5,2026-09-21,AMMN,Amman Mineral,411005572000,IDX Stock Summary (official),86719800,404504327400.0,2026-09-22,4710.0,0.010729613733905685,-0.038775510204081653,-0.06732673267326728,4647.0,4355.8,53.76445006172479,207.1395770455384,0.04397867877824595,1.0176048270628122,4270.0,5275.0,Bullish,Pullback long (reclaim MA20),4710.0,4390.0,5350.0,0.0,320.0,0.06794055201698514,2.0,25671400,21599900,4071500,19296737151,-197293593784,-370029072744,5,shares,1.0160721262039087,0.04695006215390189,Normal activity,Mixed flow
2026-09-22,7,1,2026-09-21,TINS,TIMAH (Persero) Tbk.,360167135000,IDX Stock Summary (official),76750100,216958241950.0,2026-09-22,4610.0,-0.0591836734693878,-0.019148936170212738,-0.02742616033755274,4436.5,4016.0,59.2426274844467,202.50152582642406,0.04392657827037398,1.5842813894759267,3940.0,5000.0,Bullish,Pullback long (reclaim MA20),4610.0,4300.0,5250.0,0.0,310.0,0.06724511930585683,2.064516129032258,14087700,37507100,-23419400,-109900810571,-62423627016,-83459774559,5,shares,1.6600758365427932,-0.3051383646400719,Foreign distribution,Flow diverges
2026-09-22,8,New,2026-09-21,CUAN,Petrindo Jaya Kreasi,292929908500,IDX Stock Summary (official),315325400,442420053425.0,2026-09-22,950.0,0.021505376344086002,0.005291005291005346,0.032608695652173836,906.0,795.1,61.673961231893394,52.70157984877925,0.05547534720924131,0.6504587788813027,755.0,1040.0,Bullish,Pullback long (reclaim MA20),950.0,870.0,1110.0,0.0,80.0,0.08421052631578947,2.0,94930000,69109200,25820800,23986918216,11902202806,27622104687,5,shares,0.6621081170084396,0.08188620390054845,Normal activity,Flow confirms
2026-09-22,9,New,2026-09-21,TLKM,Telkom Indonesia,277593798000,IDX Stock Summary (official),111856600,285075382450.0,2026-09-22,2470.0,-0.01200000000000001,-0.04633204633204635,-0.08518518518518514,2605.5,2622.4,34.61540373825545,59.90631854037702,0.02425357025926195,1.023423674002295,2500.0,2720.0,Bearish,No long setup (downtrend),,,,,,,,68046200,89942000,-21895800,-54338664703,-269274306101,-409954537773,5,shares,0.9737557680859651,-0.1957488427136978,Normal activity,No trigger
2026-09-22,10,New,2026-09-21,ISAT,Indosat,274037429000,IDX Stock Summary (official),114362000,172178837750.0,2026-09-22,2410.0,0.04329004329004338,0.016877637130801704,0.008368200836819994,2410.5,2252.8,53.4077558960251,109.03637348130383,0.04524330849846632,1.602051419263715,2290.0,2630.0,Mixed,Pullback long (reclaim MA20),2420.0,2290.0,2680.0,0.004149377593360981,130.0,0.05371900826446281,2.0,55134400,49644700,5489700,13154572969,17828794395,14518432466,5,shares,1.5915860077874175,0.04800283310569229,Price-led activity,Flow confirms
