report_date,stock_code,company,fetch_status,published_wib,source,flags,title,link
2026-09-21,AMMN,Amman Mineral,ok,22 Sep 12:45 WIB,PintarSaham,earnings,Analisis Kinerja Keuangan dan Valuasi Saham AMMN Semester I 2026,https://news.google.com/rss/articles/CBMikgFBVV95cUxNSzIzZE0yX2F5OEw1dTRJVzVKNkZoazNjQUhjdEZ4RHIyYWRzNGRxb0kybUJSampBLUhhWHVuQVFpbDZCSjF3RmR0MktzUjAwX285SVpENVdTRjBHSTN4U05tbjJPVmEwck9vcHFMS1JsU3VoXy1uWWp3MWgzdUFnbXJnQ1lBOVllNm14ZDV1bGY5dw?oc=5
2026-09-21,AMMN,Amman Mineral,ok,22 Sep 12:20 WIB,Bloomberg Technoz,,"Produksi Konsentrat Tembaga Amman (AMMN) Naik 136%, Emas 481%",https://news.google.com/rss/articles/CBMirAFBVV95cUxQY2h0cE5nLW9xOWVWcWduWTNLSG5Nc3oxSWZ0eEt5RFdEeThLS3pIcXU4dWZJbDBIaGh0SFdGMUo4aWpibkJINEJGS1JqZjI1YUx5amhqVzhHRTRYUEVkRTVsQmx4Z2hhbU9wdzFQTmRYQm9iUlk3YnRNaFhiSmJSc3MtSmlYZ2JOUmdzMzVVazVoNFNZYzB6Tk9yRVE0RV9uWWJsazl1T2RMMTFu?oc=5
2026-09-21,AMMN,Amman Mineral,ok,22 Sep 12:14 WIB,kontan.co.id,,"IHSG Berbalik Melemah ke 6.313,6 di Sesi Pertama, Top Losers LQ45: ISAT, AMMN, MEDC",https://news.google.com/rss/articles/CBMiswFBVV95cUxNNzl6MWRDaGhNc043TDlCS1JKUTVyYjNRR1pGb05HOE1QbmJhZEowN0tEazU4VHhuNGdSZGJmdl8yNWtpWGhEWGJ4YURvbUw4ajZGYTFWY08tLWNhTXdzeXRiMG5fMVU5SVlWYVZiNzNYV2pqR25FWkl0NzlrbVJ3d2Y4RHBNM1pxbEw1X3g1T1ZIVmpxa1Ztc1FFYnBHdC1jRmdfQVJhVEV0bkpkT2RKdklWMNIBqwFBVV95cUxQTXpXYkhaYTZic3lzV2ZfcWdyMDFLR1NOWHQzSGNiZDdKbDhnX21uSFh2R2pQSi1TVWFla2ZZN3lXeUlJV2ZPTS1POHJYTnFvZmRTZzFXNFlONC0yVG1kOVNHbzZvWVdpblJ5RXlMNmxJdTNQWUpfeUxTZnJrd2dyRlpHWURQNG1YN184d1FybUxNNnRfZkNhVzlfZjdNLU1JUkZQQ0ExY2lsRXc?oc=5
2026-09-21,AMMN,Amman Mineral,ok,22 Sep 11:15 WIB,Bisnis Indonesia Premium,,Prospek Anyar Saham AMMN dan Pertaruhan Amman Mineral di Tambang Elang,https://news.google.com/rss/articles/CBMiwAFBVV95cUxOVUFvaEpMNlpCbVhqb19malR4VEpaYXBkeFpKUkZRWjJtLUpDUXdxTWZndndjajliTVJBY3VudXQwajFFU1ZKckVzM0VBeEtCM3loUmNKWC10Y2Z2WDEwajRmajkyeFVFMGJLa3hPN3BkYkd5bGJQTloyQWZjY05Hb2tocno0NWdjS2dZeVlVTnNvdHZsdlZWSTBkbUlreFpGTTEyU0FJb1RITWg2VFZDWXI0RUFRNTR4UmplVUt4NG0?oc=5
2026-09-21,AMMN,Amman Mineral,ok,22 Sep 11:01 WIB,Berita Moneter,earnings,"Produksi Tembaga dan Emas AMMN Melejit di Semester I 2026, Laba Bersih Capai USD504 Juta",https://news.google.com/rss/articles/CBMitAFBVV95cUxQNnlvREVTOFJGNUdET2xfUzJONERlMFl4bFpPYmlyT3BhaVNPS19tOWJlUlN0VXVyWVhtbHBBcE1oMHRuaUhuRmw3Vmw3a2JMVUVCT2pJUkM5eVltWm0wc0dmbjhGMTZTcVNHSUtmUGdDQnhoNWo2T2lSRzczcU9EV2tNMjZPSkk3WGZsSG1ZVUtOcGFsdUR3V3YtRHhfVE1IZjc0aDhheC1WRmVOWWNhLURfUC0?oc=5
2026-09-21,BBCA,Bank Central Asia,ok,22 Sep 11:05 WIB,Pintu,,Harga Saham BBCA Hari Ini 22 September 2026: Melemah ke Rp6.200,https://news.google.com/rss/articles/CBMigAFBVV95cUxPUEk1ek9MR3dZQS1jR1pEaGVKUGtQV045YjUzQlhkWm1LNWtWR0E0Qm0wUUJuTHNOMHI5bnJZdENwOU9ja0QxWmhtZlREZXktS25NOEoyN1VFa05QVzZYNjFyLXR2bkJUSkZJOGp1bzk5alJIRkJraVdiX1A0ZDZGMA?oc=5
2026-09-21,BBCA,Bank Central Asia,ok,22 Sep 10:35 WIB,Bareksa.com,,"Rekomendasi Saham Hari Ini: BBCA, EXCL, INDF & PGAS, IHSG Diprediksi Konsolidasi",https://news.google.com/rss/articles/CBMixAFBVV95cUxQOXJYdEFZbFkxRVVsaEIxRUM5MG9aZER1NnUxQ1ZCNURqUTJZODBYbndaX3dubktjbV9sNE1ia09rUFNvNF9CRjE3SF9mU1U5TC1UVlpVVkxFX21RdE5NWUJVRFZVWFM0QzROSFVxYWk0SWkwTzBrWTVEYk9GTzZRaGxCZlNRRURaSHFlREhhSWV6MHUteHhHanhET3VUek5xT0NGMnVVckNHb3pyWUVLcEwyZ3FSbG1uZUpndXE5Y25zU3Uy?oc=5
2026-09-21,BBCA,Bank Central Asia,ok,22 Sep 09:35 WIB,fortuneidn.com,,"Harga Saham PT Bank Central Asia Tbk (BBCA) Hari Ini, 22 September 2026",https://news.google.com/rss/articles/CBMiugFBVV95cUxOQWRkZmZ0TFFkbU5WLVZxeWF1RjVETVJWa3IzSmdNMXZFUXZBTUNOdnZEc1o4Q3N2eno3d3dSNnJFemFjVng5X1NrNVpZVHJxd3pIbFQzZU9pYzMtSFlBclY1ZTBIcVk1cVR6ckhXWjRLM0FudmZibS1KWXI3Y2lRRHZRTnFVaGlnakdrRHNkTHVZc085cXRSRG5qQThXNzBReHFUaU1TS0Y1MHE1VC1peXE3bkUzSVpHb2fSAb8BQVVfeXFMUENpSUozZnprR0ZuUGpRbG9tazdzUi1PZXZvbDI1SGFZczRMWlliNXN5Ml9fRkw0Q28zZzBPTUNLUEtaR1AyQWxrWU9CMDNmamEteU01OG0yUE41ajlsY1BiN05NQ19rN21zaHBRbnVmX2ZHcGxiVVpFTTQ2b0VWVFFfaFFFeW1ySlVxTHlDQmJZY05QNkY2b0E2WjFQVTQ0eVBrVVJSRFlLbElibG84ZVl5RVd1VS1JSlhLS0s2N0E?oc=5
2026-09-21,BBCA,Bank Central Asia,ok,22 Sep 06:12 WIB,Readers.id,,"Saham BBCA Anjlok 4,23 Persen Sepekan Jelang Perdagangan 22 September 2026",https://news.google.com/rss/articles/CBMifkFVX3lxTE1nSjFHRUMwQXRzYk9CNHRLRHRZYTM4T29XaVZlcHJUV0ZKeWZCb3hCQTNyQXVqaVNFMzZVUE1FaFNZSDdTTzlNV0VIUVdzeUJqUXZkQWNTX3QzckFqRlVXZmtGU04yV2JJckFhUjFweU5IZmhraXNEWkYxYUJTUQ?oc=5
2026-09-21,BBCA,Bank Central Asia,ok,22 Sep 06:07 WIB,investor.id,,Suratan Saham Bank Central Asia (BBCA),https://news.google.com/rss/articles/CBMiekFVX3lxTE8tbHF0Rzk3WG1PaklaVkdmNE82SHNuTlJGSEZTdEIzS1JSbS1HVndUOWtYa285cV9wUXZBT3lPVGFSZGxjV3ZsTmwwWVF4Ni16dWxqdTlubGNLSlJtU2xma016a3llQzhJZDZnTG51Tld6WEw3WlJ3MWl3?oc=5
